devGenes_id,child_count,dob,gender,gender_other,sex,sex_other,parent_edu,race,race_other,ethnicity,marital_status
2208,NA,1972-03-31,1,NA,1,NA,7,6,NA,2,2
2209,NA,1976-01-05,1,NA,1,NA,7,6,NA,2,2
2210,NA,1976-02-12,1,NA,1,NA,6,6,NA,2,2
2231,NA,2009-01-27,2,NA,2,NA,5,2,NA,2,3
2266,4,1976-02-02,1,NA,1,NA,6,6,NA,2,2
2267,NA,1970-10-12,1,NA,1,NA,6,6,NA,2,2
2272,NA,1980-09-16,1,NA,1,NA,6,6,NA,2,2
2276,NA,1969-09-26,1,NA,1,NA,7,6,NA,2,2
2292,NA,1969-06-06,1,NA,1,NA,6,6,NA,2,2
2309,NA,1973-03-30,4,NA,1,NA,7,6,NA,2,2
2325,NA,1977-04-13,1,NA,1,NA,6,6,NA,2,2
2341,NA,1953-02-18,1,NA,1,NA,7,6,NA,2,2
2347,NA,1983-12-01,1,NA,1,NA,7,6,NA,2,2
2373,NA,1998-01-11,2,NA,2,NA,4,6,NA,2,3
2375,NA,1973-04-23,1,NA,1,NA,6,6,NA,2,2
2394,NA,2001-10-30,1,NA,1,NA,2,6,NA,2,3
2397,NA,1987-11-01,1,NA,1,NA,6,6,NA,2,2
2415,NA,2001-04-12,1,NA,1,NA,5,6,NA,2,3
2416,NA,2002-01-08,4,NA,1,NA,2,6,NA,2,3
2418,NA,2001-10-30,14,NA,1,NA,5,36,NA,2,3
2435,NA,2001-11-09,1,NA,1,NA,2,6,NA,2,3
2453,NA,1989-09-13,1,NA,1,NA,6,6,NA,2,2
2456,NA,2002-11-19,1,NA,1,NA,5,6,NA,4,3
2458,NA,1997-10-08,2,NA,2,NA,7,6,NA,2,3
2460,NA,2002-02-19,2,NA,2,NA,2,6,NA,4,3
2463,NA,1994-12-07,1,NA,1,NA,6,6,NA,2,2
2468,NA,1975-03-11,1,NA,1,NA,7,6,NA,2,3
2482,NA,2001-04-30,2,NA,2,NA,5,6,NA,2,3
2516,NA,1994-11-15,1,NA,1,NA,6,6,NA,2,3
2524,NA,1997-02-04,1,NA,1,NA,6,6,NA,2,2
2531,NA,1959-03-15,2,NA,2,NA,7,6,NA,2,4
2533,NA,1959-09-17,2,NA,2,NA,7,6,NA,2,2
2535,NA,1972-11-17,1,NA,1,NA,5,6,NA,2,2
2553,NA,2002-09-03,2,NA,2,NA,2,6,NA,3,3
2555,NA,1997-04-02,1,NA,1,NA,5,46,NA,1,3
2557,NA,1998-08-12,2,NA,2,NA,6,2,NA,2,3
2600,1,1999-06-15,1,NA,1,NA,5,6,NA,2,2
2612,NA,1987-08-18,1,NA,1,NA,5,6,NA,2,2
2625,NA,1999-01-06,2,NA,2,NA,5,26,NA,2,3
2635,NA,1989-08-18,1,NA,1,NA,6,6,NA,2,2
2693,NA,1988-01-14,1,NA,1,NA,6,6,NA,2,3
2707,NA,1962-12-07,2,NA,2,NA,6,6,NA,2,2
2710,NA,1997-08-09,1,NA,1,NA,5,6,NA,2,3
2716,NA,1988-08-11,1,NA,1,NA,7,2,NA,2,2
2718,NA,1967-11-28,2,NA,2,NA,6,6,NA,2,2
2723,NA,2000-02-13,1,NA,1,NA,5,6,NA,2,1
2742,NA,1967-09-30,2,NA,2,NA,6,6,NA,2,2
2753,NA,1997-02-18,1,NA,1,NA,6,56,NA,2,3
2767,NA,2001-01-15,2,NA,2,NA,5,6,NA,2,3
2794,NA,1977-08-09,1,NA,1,NA,7,6,NA,2,2
2799,NA,1982-08-10,2,NA,2,NA,5,6,NA,2,2
2803,NA,1974-12-16,1,NA,1,NA,5,6,NA,2,3
2810,NA,1989-06-30,1,NA,1,NA,5,6,NA,2,3
2817,NA,1997-11-07,1,NA,1,NA,6,6,NA,2,3
2822,NA,1993-02-17,1,NA,1,NA,6,6,NA,2,3
2890,NA,1993-12-30,2,NA,2,NA,5,6,NA,2,3
2898,NA,2001-09-20,1,NA,1,NA,5,6,NA,2,3
2899,NA,1982-10-11,1,NA,1,NA,6,6,NA,2,2
2907,NA,1993-11-19,1,NA,1,NA,6,6,NA,2,3
2912,NA,1990-10-16,4,NA,1,NA,6,6,NA,2,1
2917,NA,1997-03-31,1,NA,1,NA,7,6,NA,2,2
2918,NA,1992-10-04,1,NA,1,NA,5,6,NA,2,3
2925,NA,2001-02-16,1,NA,1,NA,5,6,NA,2,3
2933,NA,1999-09-16,1,NA,1,NA,5,6,NA,2,3
2944,NA,1983-11-10,1,NA,1,NA,6,6,NA,2,2
2946,NA,1974-04-30,8,non-binary,1,NA,5,6,NA,2,1
2965,NA,1998-06-09,1,NA,1,NA,5,6,NA,2,3
2971,NA,1997-11-14,1,NA,1,NA,5,6,NA,2,2
2993,NA,2002-03-11,2,NA,2,NA,2,6,NA,2,3
2998,NA,2001-04-24,1,NA,1,NA,5,6,NA,2,3
3005,NA,1991-06-01,1,NA,1,NA,6,6,NA,2,2
3016,NA,1979-12-23,2,NA,2,NA,6,6,NA,2,2
3018,NA,1990-07-08,1,NA,1,NA,5,6,NA,2,2
3019,NA,1997-03-14,2,NA,2,NA,5,6,NA,2,3
3030,NA,2000-03-16,18,Genderqueer,1,NA,5,6,NA,2,3
3040,NA,1974-07-11,2,NA,2,NA,5,6,NA,1,2
3056,NA,1995-08-16,1,NA,1,NA,5,6,NA,2,2
3072,NA,2001-05-21,1,NA,1,NA,5,6,NA,2,3
3077,NA,1984-03-26,1,NA,1,NA,5,6,NA,2,3
3090,NA,1989-05-22,1,NA,1,NA,7,6,NA,2,2
3093,NA,1981-08-23,1,NA,1,NA,6,6,NA,2,2
3097,NA,1976-12-28,1,NA,1,NA,7,6,NA,2,2
3111,NA,1989-07-11,1,NA,1,NA,7,6,NA,2,3
3112,NA,1983-01-20,1,NA,1,NA,4,6,NA,2,2
3132,NA,1989-05-14,1,NA,1,NA,6,2,NA,2,3
3139,NA,1997-05-17,14,NA,1,NA,5,6,NA,2,2
3140,NA,1980-11-18,1,NA,1,NA,4,6,NA,2,2
3151,NA,2002-09-30,4,NA,1,NA,5,6,NA,2,3
3185,NA,2000-06-06,2,NA,2,NA,5,6,NA,2,3
3213,NA,1989-03-21,1,NA,1,NA,5,6,NA,2,2
3237,NA,2001-03-05,2,NA,2,NA,2,6,NA,2,3
3249,NA,1995-04-30,1,NA,1,NA,5,6,NA,2,3
3278,NA,2002-06-06,1,NA,1,NA,2,6,NA,2,3
3291,NA,1975-12-01,1,NA,1,NA,6,6,NA,2,2
3308,NA,1992-10-10,2,NA,2,NA,7,6,NA,2,2
3315,NA,1997-11-20,1,NA,1,NA,5,6,NA,2,3
3340,NA,1956-08-12,2,NA,2,NA,7,6,NA,2,1
3347,NA,1981-06-17,2,NA,2,NA,6,246,NA,1,1
3351,NA,1954-07-30,2,NA,2,NA,5,6,NA,2,2
3371,NA,1993-03-13,1,NA,1,NA,5,6,NA,2,3
3392,NA,1980-01-27,1,NA,1,NA,6,6,NA,2,2
3411,NA,2001-04-09,2,NA,2,NA,5,6,NA,2,3
3420,NA,1967-06-06,2,NA,2,NA,7,6,NA,2,2
3421,NA,1983-08-23,1,NA,1,NA,2,6,NA,2,3
3425,NA,1943-12-10,2,NA,2,NA,7,6,NA,2,1
3443,NA,1993-06-26,2,NA,2,NA,5,6,NA,2,2
3446,NA,1981-05-16,2,NA,2,NA,5,6,NA,2,3
3460,NA,2008-07-27,2,NA,2,NA,1,2,NA,2,3
3468,1,1986-09-16,5,NA,1,NA,5,6,NA,2,2
3501,NA,1976-12-11,1,NA,1,NA,6,6,NA,2,2
3513,NA,1996-03-06,16,NA,1,NA,7,6,NA,2,3
3516,NA,2000-08-18,2,NA,2,NA,5,6,NA,2,3
3572,NA,1997-07-11,2,NA,2,NA,5,6,NA,2,3
3577,NA,2001-11-29,1,NA,1,NA,5,6,NA,2,3
3580,NA,1981-10-20,1,NA,1,NA,7,6,NA,2,2
3587,NA,1971-04-20,1,NA,1,NA,6,6,NA,2,2
3588,NA,2001-11-13,1,NA,1,NA,2,6,NA,2,3
3601,NA,1990-11-13,1,NA,1,NA,6,6,NA,2,2
3604,NA,1997-12-14,2,NA,2,NA,5,6,NA,2,3
3608,NA,1978-11-30,1,NA,1,NA,5,6,NA,2,2
3629,NA,1995-03-17,1,NA,1,NA,5,6,NA,2,3
3634,NA,1998-08-17,1,NA,1,NA,5,2,NA,2,3
3636,NA,1996-01-04,1,NA,1,NA,6,6,NA,2,3
3639,NA,1994-03-11,1,NA,1,NA,2,6,NA,2,2
3641,NA,2001-11-29,1,NA,1,NA,5,67,North African,2,3
3642,NA,1994-10-04,2,NA,2,NA,5,6,NA,2,3
3656,NA,1991-05-01,8,Transman,1,NA,3,6,NA,2,5
3664,NA,1972-08-19,1,NA,1,NA,5,6,NA,2,2
3665,NA,2000-02-15,1,NA,1,NA,5,6,NA,2,3
3666,NA,1999-01-28,1,NA,1,NA,5,6,NA,2,3
3729,NA,1944-12-17,2,NA,2,NA,5,6,NA,2,3
3741,NA,1981-07-07,1,NA,1,NA,7,6,NA,2,2
3748,NA,1994-11-13,2,NA,2,NA,5,46,NA,1,3
3752,NA,1997-09-04,1,NA,1,NA,5,6,NA,2,3
3760,NA,1997-11-04,1,NA,1,NA,5,6,NA,2,3
3771,NA,1982-05-23,1,NA,1,NA,4,6,NA,2,2
3792,NA,1999-03-05,1,NA,1,NA,6,46,NA,1,3
3807,NA,2001-12-02,1,NA,1,NA,2,46,NA,1,3
3814,NA,1998-11-18,1,NA,1,NA,6,6,NA,2,3
3816,NA,1994-06-02,2,NA,2,NA,6,6,NA,2,3
3829,NA,1996-08-21,1,NA,1,NA,7,6,NA,2,3
3837,1,1994-04-25,1,NA,1,NA,5,6,NA,2,2
3843,NA,1973-11-11,1,NA,1,NA,6,6,NA,2,2
3844,NA,1995-10-02,2,NA,2,NA,5,6,NA,2,3
3845,NA,1987-02-07,1,NA,1,NA,4,6,NA,2,3
3864,NA,1992-08-31,1,NA,1,NA,6,6,NA,2,3
3867,NA,1982-07-22,1,NA,1,NA,5,6,NA,2,2
3871,NA,1978-10-19,2,NA,2,NA,5,6,NA,2,2
3876,NA,1973-10-30,1,NA,1,NA,7,2,NA,1,2
3887,NA,1957-10-24,1,NA,1,NA,5,6,NA,2,2
3891,NA,1981-10-10,1,NA,1,NA,5,6,NA,2,2
3908,NA,1971-10-11,1,NA,1,NA,6,6,NA,2,2
3937,NA,1986-08-22,1,NA,1,NA,6,6,NA,2,2
3941,NA,1985-04-14,1,NA,1,NA,7,6,NA,2,2
3960,NA,1974-05-07,1,NA,1,NA,7,6,NA,2,2
3972,NA,1978-07-25,2,NA,2,NA,7,6,NA,2,2
4230,NA,2013-10-09,1,NA,1,NA,1,7,NA,1,3
4232,NA,1982-10-22,1,NA,1,NA,5,6,NA,2,2
4236,NA,1975-11-17,1,NA,1,NA,5,6,NA,2,1
4241,4,1974-12-21,2,NA,2,NA,6,6,NA,2,2
4247,NA,1980-10-22,2,NA,2,NA,7,6,NA,2,2
4252,NA,1981-03-10,1,NA,1,NA,6,6,NA,2,2
4258,NA,1980-12-11,1,NA,1,NA,6,6,NA,2,2
4284,4,1982-12-06,1,NA,1,NA,6,6,NA,2,2
4288,2,1995-08-08,8,NA,1,NA,3,6,NA,2,2
4300,3,1974-01-25,1,NA,1,NA,7,2,NA,2,2
4308,1,1993-05-15,1,NA,1,NA,6,6,NA,2,2
4311,3,1973-06-24,1,NA,1,NA,6,6,NA,2,2
4317,3,1973-06-24,1,NA,1,NA,6,6,NA,2,2
4320,3,1993-06-01,1,NA,1,NA,6,6,NA,2,2
4322,1,1998-11-24,1,NA,1,NA,5,6,NA,2,3
4323,1,2002-01-14,1,NA,1,NA,2,6,NA,2,3
4324,NA,2013-01-10,2,NA,2,NA,1,2,NA,2,3
4329,1,1988-01-14,1,NA,1,NA,6,6,NA,2,3
4331,2,1995-05-08,2,NA,1,NA,5,6,NA,2,3
4336,1,1997-11-20,1,NA,1,NA,5,6,NA,2,3
4339,1,2000-09-20,1,NA,1,NA,5,6,NA,2,3
4347,1,1974-01-26,1,NA,1,NA,6,6,NA,2,1
4348,3,1967-04-20,2,NA,2,NA,6,6,NA,2,2
4357,1,2000-01-31,1,NA,1,NA,5,6,NA,2,3
4358,1,2001-04-11,1,NA,1,NA,2,6,NA,2,3
4359,1,2000-11-19,1,NA,1,NA,5,2,NA,2,3
4363,1,2000-09-07,1,NA,1,NA,2,6,NA,2,3
4367,6,1960-06-20,2,NA,2,NA,7,6,NA,3,2
4374,1,2001-05-16,1,NA,1,NA,5,2,NA,2,3
4377,1,1995-08-16,1,NA,1,NA,5,6,NA,1,2
4378,1,1964-11-02,1,NA,1,NA,6,6,NA,2,2
4380,2,1946-11-24,2,NA,2,NA,7,6,NA,2,2
4381,1,1993-05-06,1,NA,1,NA,5,6,NA,2,3
4382,1,2000-04-28,2,NA,1,NA,5,6,NA,2,3
4383,1,1997-04-12,1,NA,1,NA,5,6,NA,2,2
4384,3,1989-08-18,1,NA,1,NA,6,6,NA,2,2
4387,1,2004-04-09,1,NA,1,NA,2,6,NA,2,3
4388,3,1991-08-30,1,NA,1,NA,5,6,NA,2,2
4389,1,1994-11-15,1,NA,1,NA,6,6,NA,2,3
4396,4,1984-06-13,1,NA,1,NA,7,2,NA,2,2
4402,NA,1962-10-21,1,NA,1,NA,5,6,NA,2,4
4404,1,2004-03-02,1,NA,2,NA,2,6,NA,2,3
4406,1,2004-03-08,1,NA,1,NA,2,6,NA,2,3
4407,7,1990-12-28,1,NA,1,NA,7,6,NA,2,1
4409,1,2002-02-01,1,NA,1,NA,5,2,NA,2,3
4412,1,2004-05-21,6,NA,1,NA,2,6,NA,2,3
4413,1,1998-10-17,1,NA,1,NA,5,6,NA,2,3
4414,1,2000-07-16,1,NA,1,NA,5,3,NA,2,3
4416,1,1990-06-10,1,NA,1,NA,7,4,NA,1,3
4420,1,2004-01-08,2,NA,2,NA,2,6,NA,4,3
4421,2,1976-01-06,1,NA,1,NA,7,6,NA,2,2
4422,3,1988-10-12,1,NA,1,NA,6,6,NA,2,2
4424,1,2002-12-29,1,NA,1,NA,2,6,NA,2,3
4425,2,1984-07-14,1,NA,1,NA,5,6,NA,2,2
4427,1,2004-02-22,1,NA,1,NA,2,6,NA,2,3
4428,1,2000-10-18,1,NA,1,NA,5,6,NA,2,3
4436,1,2000-07-25,2,NA,2,NA,5,3,NA,2,3
4437,1,1999-07-23,1,NA,1,NA,5,2,NA,2,3
4440,3,1986-03-04,2,NA,2,NA,6,6,NA,2,1
4441,1,2003-09-23,1,NA,1,NA,2,6,NA,2,3
4442,4,1984-04-25,1,NA,1,NA,6,6,NA,2,2
4443,1,2000-11-06,1,NA,1,NA,5,6,NA,2,3
4444,1,1997-09-15,1,NA,1,NA,7,6,NA,2,3
4445,4,1985-10-13,2,NA,2,NA,5,6,NA,2,2
4446,1,1997-01-29,2,NA,2,NA,6,6,NA,2,3
4449,1,1986-08-23,1,NA,1,NA,7,6,NA,2,2
4450,4,1978-08-29,1,NA,1,NA,7,6,NA,2,2
4452,2,1995-10-17,1,NA,1,NA,7,6,NA,2,2
4454,1,1980-05-10,1,NA,1,NA,7,6,NA,2,2
4457,1,2002-12-07,1,NA,1,NA,2,6,NA,2,2
4458,1,2002-05-31,1,NA,1,NA,2,6,NA,2,3
4460,2,1992-12-17,2,NA,2,NA,7,6,NA,2,2
4461,1,1993-11-30,1,NA,1,NA,7,6,NA,2,3
4462,1,2000-09-07,1,NA,1,NA,2,6,NA,2,3
4469,1,2001-07-08,1,NA,1,NA,5,6,NA,2,3
4470,3,1971-05-27,1,NA,1,NA,6,6,NA,2,1
4473,1,2002-09-24,1,NA,1,NA,4,6,NA,2,3
4474,4,1983-03-27,1,NA,1,NA,7,6,NA,2,2
4477,2,1975-09-17,1,NA,1,NA,5,6,NA,2,2
4478,1,2000-09-30,1,NA,1,NA,5,6,NA,2,2
4480,1,2002-07-27,1,NA,1,NA,2,6,NA,2,3
4482,3,1987-07-03,1,NA,1,NA,6,4,NA,1,2
4483,1,2003-09-06,16,NA,1,NA,2,16,NA,2,3
4484,2,1986-06-10,18,Nonbinary woman,1,NA,6,6,NA,2,2
4497,1,1995-09-29,1,NA,1,NA,6,6,NA,2,2
4501,1,1992-07-28,1,NA,1,NA,7,6,NA,2,3
4503,1,2002-08-01,1,NA,1,NA,2,46,NA,1,3
4504,NA,2000-12-02,1,NA,1,NA,5,6,NA,2,3
4505,1,2002-10-13,1,NA,1,NA,4,6,NA,3,3
4507,1,1996-05-15,5,NA,1,NA,6,2,NA,2,3
4509,1,1999-07-11,1,NA,1,NA,6,6,NA,2,3
4510,3,1982-04-28,1,NA,1,NA,5,6,NA,2,2
4511,1,2000-09-08,1,NA,1,NA,5,6,NA,2,3
4513,1,2003-01-13,1,NA,1,NA,2,46,NA,1,3
4519,1,2003-09-02,1,NA,1,NA,2,6,NA,2,3
4524,1,2000-10-24,1,NA,1,NA,2,6,NA,2,3
4525,1,2002-10-28,2,NA,2,NA,2,6,NA,2,3
4526,1,2002-03-21,2,NA,2,NA,2,6,NA,2,3
4527,2,1990-10-17,2,NA,2,NA,7,6,NA,2,2
4534,1,2001-09-24,45,NA,1,NA,2,6,NA,2,5
4539,1,1998-04-09,1,NA,1,NA,2,6,NA,2,3
4540,1,2004-07-12,1,NA,1,NA,2,6,NA,2,3
4544,1,2002-05-13,1,NA,1,NA,2,6,NA,2,3
4545,1,1999-11-01,1,NA,1,NA,4,6,NA,2,3
4549,1,2001-12-13,1,NA,1,NA,2,6,NA,1,3
4550,2,1970-09-28,1,NA,1,NA,6,6,NA,2,1
4553,3,2001-09-14,1,NA,1,NA,4,6,NA,2,3
4555,1,2001-09-09,1,NA,1,NA,2,146,NA,1,3
4561,1,2003-12-12,1,NA,1,NA,2,6,NA,2,3
4566,1,2002-01-12,1,NA,1,NA,4,6,NA,2,3
4568,1,1999-06-17,1,NA,1,NA,5,6,NA,4,3
4572,1,1998-03-06,1,NA,1,NA,5,3,NA,2,2
4579,1,2000-09-24,1,NA,1,NA,2,6,NA,2,3
4580,1,2002-06-03,2,NA,2,NA,2,6,NA,2,3
4582,NA,2004-04-12,1,NA,1,NA,2,26,NA,2,3
4583,1,1992-12-28,2,NA,2,NA,7,6,NA,2,3
4586,3,1971-12-31,1,NA,1,NA,7,6,NA,2,2
4587,3,1952-12-27,2,NA,2,NA,6,6,NA,2,2
4589,1,2003-08-09,1,NA,1,NA,2,6,NA,2,3
4592,1,2001-09-28,1,NA,1,NA,4,6,NA,2,3
4595,1,2001-11-15,2,NA,2,NA,2,6,NA,2,3
4596,1,1996-08-23,1,NA,1,NA,5,6,NA,2,3
4597,1,2003-07-08,24,NA,1,NA,2,6,NA,2,3
4599,1,2004-01-02,1,NA,1,NA,4,6,NA,2,3
4600,1,2004-09-03,1,NA,1,NA,2,6,NA,2,3
4603,1,2004-02-15,1,NA,1,NA,2,6,NA,2,3
